0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	21
24	21
25	21
26	21
27	21
28	21
29	34
30	34
31	34
32	46
33	46
34	53
35	58
36	62
37	62
38	65
39	65
40	67
41	67
42	68
43	68
44	68
45	69
46	69
47	69
48	69
49	69
50	71
51	71
52	71
53	71
54	72
55	72
56	72
57	73
58	73
59	73
60	74
61	74
62	74
63	74
64	75
65	75
66	75
67	75
68	76
69	76
70	77
71	77
72	77
73	78
74	78
75	78
76	79
77	79
78	79
79	80
80	81
81	81
82	82
83	83
84	84
85	85
86	86
87	86
88	87
89	87
90	88
91	88
92	89
93	89
94	90
95	90
96	91
97	91
98	92
99	92
100	92
101	93
102	93
103	94
104	94
105	94
106	95
107	95
108	96
109	97
110	97
111	98
112	98
113	99
114	99
115	100
116	100
117	100
118	101
119	101
120	101
121	102
122	102
123	102
124	103
125	103
126	104
127	104
128	104
129	105
130	105
131	106
132	106
133	107
134	107
135	107
136	108
137	109
138	109
139	110
140	110
141	111
142	111
143	112
144	112
145	113
146	114
147	115
148	115
149	116
150	117
151	118
152	119
153	120
154	120
155	121
156	123
157	124
158	126
159	127
160	129
161	131
162	132
163	134
164	137
165	139
166	142
167	143
168	146
169	149
170	150
171	153
172	155
173	157
174	159
175	163
176	166
177	168
178	169
179	173
180	175
181	180
182	186
183	188
184	193
185	198
186	200
187	203
188	205
189	208
190	210
191	213
192	213
193	215
194	217
195	220
196	220
197	222
198	222
199	225
200	225
201	227
202	227
203	229
204	229
205	229
206	231
207	231
208	233
209	233
210	233
211	235
212	235
213	238
214	238
215	238
216	238
217	240
218	240
219	240
220	240
221	245
222	245
223	245
224	245
225	245
226	245
227	245
228	245
229	245
230	245
231	245
232	245
233	245
234	245
235	245
236	245
237	245
238	245
239	245
240	245
241	245
242	245
243	245
244	245
245	245
246	245
247	245
248	245
249	245
250	245
251	245
252	245
253	245
254	245
255	245
