0	2.000000
1	5.000000
2	3.000000
3	4.000000
4	4.000000
5	5.000000
6	6.000000
7	10.000000
8	7.000000
9	26.000000
10	26.000000
11	32.000000
12	51.000000
13	44.000000
14	51.000000
15	63.000000
16	61.000000
17	66.000000
18	63.000000
19	61.000000
20	49.000000
21	51.000000
22	62.000000
23	49.000000
24	51.000000
25	41.000000
26	56.000000
27	34.000000
28	49.000000
29	58.000000
30	57.000000
31	50.000000
32	35.000000
33	50.000000
34	47.000000
35	43.000000
36	38.000000
37	58.000000
38	38.000000
39	41.000000
40	48.000000
41	47.000000
42	68.000000
43	69.000000
44	55.000000
45	85.000000
46	83.000000
47	76.000000
48	74.000000
49	106.000000
50	78.000000
51	93.000000
52	112.000000
53	107.000000
54	129.000000
55	135.000000
56	157.000000
57	166.000000
58	167.000000
59	173.000000
60	153.000000
61	184.000000
62	190.000000
63	195.000000
64	238.000000
65	276.000000
66	347.000000
67	376.000000
68	457.000000
69	538.000000
70	643.000000
71	725.000000
72	843.000000
73	922.000000
74	1002.000000
75	1194.000000
76	1201.000000
77	1229.000000
78	1350.000000
79	1425.000000
80	1525.000000
81	1653.000000
82	1830.000000
83	1835.000000
84	2068.000000
85	2139.000000
86	2279.000000
87	2418.000000
88	2554.000000
89	2586.000000
90	2758.000000
91	2970.000000
92	3104.000000
93	3101.000000
94	3133.000000
95	3116.000000
96	3216.000000
97	3322.000000
98	3455.000000
99	3444.000000
100	3350.000000
101	3138.000000
102	3143.000000
103	2857.000000
104	2926.000000
105	2881.000000
106	2922.000000
107	2719.000000
108	2397.000000
109	2132.000000
110	2150.000000
111	2056.000000
112	1957.000000
113	1762.000000
114	1581.000000
115	1572.000000
116	1398.000000
117	1439.000000
118	1300.000000
119	1298.000000
120	1245.000000
121	1231.000000
122	1200.000000
123	1067.000000
124	1014.000000
125	834.000000
126	770.000000
127	781.000000
128	700.000000
129	684.000000
130	645.000000
131	678.000000
132	631.000000
133	588.000000
134	614.000000
135	559.000000
136	621.000000
137	608.000000
138	506.000000
139	550.000000
140	489.000000
141	492.000000
142	482.000000
143	509.000000
144	507.000000
145	485.000000
146	507.000000
147	509.000000
148	536.000000
149	549.000000
150	561.000000
151	518.000000
152	548.000000
153	520.000000
154	543.000000
155	498.000000
156	507.000000
157	468.000000
158	453.000000
159	488.000000
160	461.000000
161	395.000000
162	433.000000
163	418.000000
164	394.000000
165	352.000000
166	386.000000
167	385.000000
168	404.000000
169	393.000000
170	363.000000
171	373.000000
172	347.000000
173	334.000000
174	364.000000
175	359.000000
176	340.000000
177	336.000000
178	323.000000
179	318.000000
180	362.000000
181	354.000000
182	350.000000
183	374.000000
184	334.000000
185	325.000000
186	308.000000
187	316.000000
188	306.000000
189	287.000000
190	269.000000
191	262.000000
192	267.000000
193	250.000000
194	266.000000
195	284.000000
196	259.000000
197	297.000000
198	278.000000
199	272.000000
200	276.000000
201	252.000000
202	266.000000
203	215.000000
204	266.000000
205	276.000000
206	255.000000
207	282.000000
208	291.000000
209	268.000000
210	244.000000
211	259.000000
212	250.000000
213	276.000000
214	263.000000
215	283.000000
216	274.000000
217	268.000000
218	284.000000
219	271.000000
220	238.000000
221	260.000000
222	243.000000
223	254.000000
224	258.000000
225	255.000000
226	299.000000
227	331.000000
228	311.000000
229	313.000000
230	320.000000
231	345.000000
232	318.000000
233	332.000000
234	331.000000
235	287.000000
236	304.000000
237	265.000000
238	265.000000
239	231.000000
240	229.000000
241	178.000000
242	152.000000
243	147.000000
244	139.000000
245	120.000000
246	90.000000
247	95.000000
248	76.000000
249	62.000000
250	58.000000
251	50.000000
252	31.000000
253	28.000000
254	30.000000
255	16.000000
